sample	A10-10	A10-11	A10-12	A10-13	A10-14	A10-15	A10-9	A2	A26-10	A26-11	A26-12	A26-13	A26-14	A26-15	A26-9	A4-10	A4-11	A4-12	A4-13	A4-14	A4-15	A4-9	A6-10	A6-11	A6-12	A6-13	A6-14	A6-15	A6-9	A8-10	A8-11	A8-12	A8-13	A8-14	A8-15	A8-9	B10-1	B10-2	B10-3	B10-4	B10-5	B10-6	B10-7	B2	B26-1	B26-2	B26-3	B26-4	B26-5	B26-6	B26-7	B4-1	B4-2	B4-3	B4-4	B4-5	B4-6	B4-7	B6-1	B6-2	B6-3	B6-4	B6-5	B6-6	B6-7	B8-1	B8-2	B8-3	B8-4	B8-5	B8-6	B8-7	FSC237ClpB
A10-10	0	0.641787924473492	1.15297170823917	1.14109783541988	1.14242353354608	0.607751585765101	0.609052731707194	1.21815381212716	0.642344269064488	1.04296958728431	1.3666043867923	1.48971457333274	1.19140598454093	0.887940161272146	0.577324570757208	0.676312353872077	0.681221542524888	0.68641355610156	0.683922883079657	0.681914965373242	0.686351717416068	0.68163762366817	0.869362749374507	0.6840040643154	0.683948068204003	0.686935717516556	0.682045203780505	0.685702180250281	0.681198040220308	0.62030354666082	0.653704902842246	0.870229199693972	0.655007740412272	0.772549927189168	0.654975648402283	0.6589134920458	0.586733448850494	0.579904078275015	1.15661055243324	0.678284092397862	1.16033188355742	1.16385323387441	0.551521513632962	1.19835979572078	0.579304281013005	1.2040370260087	1.13390697590232	1.51975669105287	0.884941331388695	0.697183949901305	0.604182613122883	0.68605045003993	0.679007164910643	0.685847949621481	0.685656648768162	0.685571309201307	0.683610451938814	0.689374223480972	0.681389770982799	0.680113453770759	0.684661237401379	0.683319895802832	0.683833408075383	0.676771497626773	0.683265263276267	0.655614345480628	0.657291563919691	0.659729126232875	0.658947676223225	0.65732672241435	0.657768675143469	0.655807113410637	0.571700542242173
A10-11	0.641787924473485	0	1.13235185344483	1.12145851907236	1.12404669386996	0.571600568579137	0.571356972478667	1.20915795080708	0.610114874429391	0.881862778441185	1.34893851231254	1.47047715725203	1.17129422435184	0.863634592868994	0.539122620560478	0.658176146635521	0.664786319052958	0.669382648415675	0.66697504451065	0.664750735238393	0.669605839281575	0.663132724271681	1.1357496158925	0.666252309564464	0.666825464420774	0.670182348320202	0.66461152562981	0.669087378449171	0.664253919822821	0.815753535082742	0.632452448805429	0.855194738056783	0.635093961552133	0.755728992430483	0.635456418647245	0.63978755067599	0.546983710909195	0.544263851454416	1.13836172194957	0.650932047144695	1.14053788187854	1.14227469113168	0.505752390009181	1.1890788535669	0.538950044067161	1.18488811286128	1.11147165056064	1.50450473578516	0.853764276600989	0.659108306729621	0.566637670826775	0.668835256247743	0.661993693323418	0.66929556251329	0.668281811812936	0.669003901333905	0.666531027034738	0.673332265675714	0.663825127575012	0.661963163627691	0.667589027770813	0.665406732758233	0.666452661484661	0.659186908243771	0.666014879713644	0.635578846406946	0.637993416893926	0.640065074816606	0.639012362947685	0.637579751874216	0.638778968031969	0.63615992486165	0.538414997933747
A10-12	1.15297170823918	1.13235185344485	0	1.46334946953896	1.46045335084691	0.939282933944828	1.11270461039756	1.48999640603592	1.11496333572005	1.39608460345353	0.866438728358795	1.75469868923412	1.5063521035933	1.22314374053093	1.0816552962936	1.09587107818392	1.09755004897271	1.10085804261948	1.09919198050204	1.09841638735044	1.10081606092934	1.09779237107934	1.43152155764417	1.09836589531904	1.09901565048001	1.10028418147313	1.09881603555827	1.09982015802585	1.0983483281728	1.19722265681868	1.0858252621854	0.61390548132428	1.08670249838674	1.16012299778945	1.08677418077538	1.08824698942841	1.0916520049906	1.08720695362014	1.47427785373042	1.14617144005597	1.47960079075404	1.4908009424467	1.08164578305469	1.47376047578973	1.09773579243823	1.51787582496065	1.46613859167541	1.78234229596897	1.28236007423812	1.16175732405696	1.10523689315911	1.10122103140105	1.09734688681382	1.10059178172472	1.10009630487517	1.09948892672914	1.09904286085666	1.10150974575806	1.09740581372617	1.0961362096017	1.09934809318978	1.09836687859749	1.09920282477802	1.09579793757791	1.09752076973513	1.08668094213527	1.08606894808755	1.08800929223972	1.08881689920757	1.0872701504226	1.08787203751176	1.08610620567235	1.08113192996969
A10-13	1.1410978354199	1.12145851907237	1.46334946953895	0	1.45422533329603	1.08578639704133	1.10265671902002	1.48799529569148	1.10714378018394	1.38919253165283	1.64500578722385	1.04495357791625	1.50135138791689	1.27007149405063	1.07314026576212	1.0927166467113	1.0952503458114	1.09677026764952	1.09609691177377	1.09557390896278	1.09713997739577	1.09541804805289	1.42728733617306	1.09539164229055	1.09523613435642	1.09753127973648	1.09586657490773	1.09649990880073	1.09505865596323	1.19344603564635	1.08271806579552	1.22468511463149	1.07936491049135	1.15679361166977	1.08318908321677	1.08345458603487	1.08075486119656	1.07726711172299	1.46914476482067	1.13956124012709	1.47265623619363	1.48017810414827	1.07202320403991	1.47165316905852	1.08955400967552	1.51543822374915	1.46138961266323	1.77440691781788	1.27619541998865	1.15301399384396	1.09980114566225	1.09697737898281	1.09380286157973	1.09707718962705	1.09664774198463	1.09722127668032	1.09604332031175	1.09867371407529	1.09479025845136	1.09412721381017	1.09645716742607	1.09548341384066	1.09509097338988	1.09289432700513	1.09594308702596	1.08278237887398	1.08392826792182	1.08477463558105	1.0859279395982	1.08363417720188	1.08435998635139	1.08299426591279	1.07544224391642
A10-14	1.14242353354609	1.12404669386994	1.46045335084691	1.45422533329605	0	1.08372527884143	1.09841080657464	1.48020095257368	1.10402681579749	1.39102854391991	1.64544287655329	1.74897364760023	0.529191335907908	1.27104477497842	1.06985383581119	1.08274519163095	1.0852463683422	1.08716401706456	1.08579604898892	1.0852505471088	1.08733429542158	1.08509921205389	1.42092545195023	1.08562250805699	1.08609315898774	1.08761520309343	1.08490355792575	1.0872997884668	1.08443015450511	1.18650072903472	1.07173513985496	1.21575472444072	1.07269069633326	0.725442030764686	1.07323376297987	1.07411988157745	1.08043090015046	1.07353687873307	1.46869588410944	1.13627743091198	1.47084172160026	1.48595396294771	1.07024155684589	1.46350117526431	1.08830625285346	1.51323844452883	1.45763931066639	1.777829876563	1.27702718451877	1.15383853723124	1.10035155291385	1.08721435329007	1.08295828174494	1.0864677905948	1.08651570168127	1.08678588047505	1.08590682841575	1.08727116672886	1.08431818669612	1.08348602206025	1.08596224612091	1.08574735090624	1.08634001123034	1.0829799028606	1.08528346988239	1.07244783556122	1.0732816731874	1.07491021485514	1.07483734118235	1.07279394573233	1.07421203679717	1.07452747754533	1.07180918077797
A10-15	0.607751585765091	0.571600568579137	0.939282933944831	1.08578639704131	1.08372527884145	0	0.527693680083435	1.12529630764523	0.532423506242913	0.998189385838186	1.20463699926574	1.45363461708917	1.14212425331047	0.814495119690718	0.454699274246178	0.49689708189926	0.50232571106803	0.506819652341935	0.504213169205246	0.502523422339694	0.507021449250425	0.501363959614172	1.04879242941584	0.503710541878966	0.504276739499256	0.507422437422707	0.503178030124526	0.506474708154317	0.502961151581313	0.696822976085013	0.475086697351128	0.609188107237791	0.47693453429166	0.626574736164806	0.477798210544999	0.480209912434135	0.485909713835812	0.473454654639703	1.1034753735358	0.594781001714062	1.11262803757589	1.12443337730609	0.457885935577846	1.10398800265219	0.496717827342649	1.16350616242458	1.09402780586235	1.48866413606292	0.835266705908958	0.629157873669231	0.520387682406108	0.507550933404715	0.499635146882204	0.507035777830322	0.506379788301232	0.505737807564351	0.503939639242637	0.509789515388457	0.501988754854132	0.500056236837416	0.50520104908838	0.503495590844644	0.504404619328566	0.498391944156405	0.503309914466228	0.477595142353856	0.47841758955958	0.480512382774883	0.481463363092148	0.479154474047773	0.479624853401069	0.476728245439687	0.470027680035976
A10-9	0.609052731707191	0.571356972478673	1.11270461039757	1.10265671902	1.09841080657464	0.527693680083436	0	1.17607107778398	0.569675056501501	1.00266219136856	1.3363346362345	1.45895582523939	1.15079181001602	0.835229154184648	0.497723929503093	0.597064912718866	0.603684752167873	0.609025221152614	0.606031913351099	0.604590018111438	0.608778999309262	0.603410407599991	1.10122530846325	0.605137612448594	0.606377910217701	0.609921642508268	0.604914927903079	0.607920628042829	0.603562821916646	0.76855050582249	0.572487964938992	0.810918670397957	0.573911587267575	0.703648847082109	0.574970112266706	0.579323432980221	0.508395741524257	0.500281870548992	1.11678257507894	0.614445245729832	1.12101611495998	1.12744615835966	0.466543620682997	1.15563245454598	0.505656405081553	1.16691380572857	1.09463543702913	1.49358211357795	0.834758018829413	0.632218672612561	0.527591792961186	0.608815727457816	0.601039749101494	0.60839086120683	0.608253524445182	0.607727496498222	0.606242393766708	0.612913215716545	0.603446973643905	0.601700656472959	0.607344416291106	0.605215523594689	0.606052142971209	0.599078283699207	0.605717813837421	0.575516376830399	0.577414868184039	0.579009645860923	0.579127507549061	0.576802765249952	0.577962490132355	0.575390528250151	0.495837049846015
A2	1.21815381212718	1.20915795080708	1.48999640603592	1.48799529569148	1.48020095257367	1.12529630764523	1.17607107778398	0	1.14808441762789	1.452352639685	1.69614594890885	1.7964004676018	1.54446079587665	1.32625108482518	1.11436639845249	1.00287913030428	1.00239413406099	1.00216105492075	1.00197531905725	1.00212951757738	1.00209096892442	1.00264552061029	1.36000013235291	1.00208244670779	1.0020484968303	1.00195198986772	1.00218133588681	1.00209767487999	1.00235615426847	1.12311081376678	1.00525832003516	1.15444712741636	1.00499321888255	1.0810992923871	1.00481070356556	1.00411791140279	1.13994467848224	1.13349753859458	0.521120600245277	1.19347149107131	0.550530117250633	0.622402136885784	1.14946087797714	0.0478256207487157	1.16886397839953	0.683462208172468	1.52300745894431	1.83046340853893	1.34992980928639	1.23034904397085	1.17329135341567	1.00191380367768	1.0026831403788	1.00253075763284	1.00202459550645	1.00185412610812	1.00220567749334	1.0017970602871	1.0026554094004	1.00241705891304	1.00204646598841	1.00204687016121	1.00198829334473	1.00311982833552	1.00217739447658	1.00455028744205	1.00398253470859	1.00387802545922	1.00680209078046	1.00424805202695	1.00418051166108	1.00479889530189	1.12875869874831
A26-10	0.642344269064489	0.610114874429387	1.11496333572005	1.10714378018393	1.10402681579748	0.532423506242912	0.569675056501503	0	0	1.01577436470901	1.34815799890072	1.4718246261019	1.16563143403047	0.852945549258575	0.501208220203941	0.546089992583636	0.551826521653311	0.555435351773715	0.553030677268444	0.551608158025235	0.555374846387546	0.551321856994617	1.07303677010622	0.552847863340351	0.553364599518249	0.556253521337161	0.551760491517826	0.554585106182984	0.550598392660196	0.73303572218549	0.526200722158375	0.778432733124713	0.527623066212991	0.666217479506492	0.528511664961141	0.531630426142067	0.527670465347453	0.519007475861378	1.12437566231216	0.627544811148964	1.1318000353419	1.14445324500389	0.503597339151033	1.12708411398614	0.540470082428245	1.18256123731496	1.11428506675802	1.50168325555025	0.858814438630373	0.663224215480696	0.561823789101167	0.555029026267989	0.548549769847726	0.55641149341112	0.554235744065638	0.554375937428741	0.553131241207721	0.558751590601759	0.55123566648031	0.549391745478572	0.554192917673972	0.552194005762462	0.552423687037401	0.547710817859199	0.552744479845788	0.528531919565881	0.529381053684392	0.531440965677275	0.532513323776969	0.530316339555925	0.530222472175591	0.527993664734716	0.512062896527369
A26-11	1.0429695872843	0.881862778441177	1.39608460345353	1.38919253165281	1.39102854391991	0.998189385838178	1.00266219136856	0	1.01577436470901	0	1.57835608466531	1.68654792697982	1.42984835559578	1.18701810011474	0.980466868384648	1.04077871807603	1.04418152157562	1.0464498315734	1.04584462995226	1.04428549736171	1.04683788620778	1.04325831412934	1.39161135738394	1.04583074156385	1.04522258873409	1.04792739252296	1.0448028043607	1.04711562876312	1.04367367026288	1.14647727844908	1.02433204577421	1.17592470847414	1.02631329524663	1.10613088285247	1.02731597865505	1.02843701314178	0.986044278924632	0.978368274219886	1.40037770262167	1.04505638603857	1.40138451539895	1.40483489777267	0.962537905747094	1.43550974221702	0.982712638567349	1.43935544602435	1.38221568143324	1.71309084405934	1.1876449385233	1.04858421693252	0.997659917005789	1.04701301806615	1.0424351154868	1.04707896072836	1.04486022988722	1.04717231628801	1.04536830351795	1.04888869762239	1.04397723155248	1.04319236481101	1.04626462713789	1.04460823278394	1.04564143471842	1.03998614413846	1.04384401133502	1.02565835929903	1.02828234449493	1.02965577743243	1.02896670500069	1.02837494135164	1.02901790557793	1.02697030628932	0.979338097900822
